Come in!	Qǐng jìn!	请进！
He uses pornographic and violent topics to attract our interest.	Tā yòng sèqíng gēn bàolì de tímù lái yǐnqǐ wǒmen de xìngqu.	他用色情跟暴力的题目来引起我们的兴趣。
Teaching a language isn't at all a matter of promoting a product.	Jiāo yǔyán bìng búshì tuīxiāo chǎnpǐn.	较语言并不是推销产品。
There's no need to use TV advertising methods to excite students.	Yòngbuzháo ná diànshì guǎnggào de bànfǎ lái cìjī xuéshēng.	用不着拿电视广告的办法来刺激学生。
I don't like this kind of teaching material.	Wǒ bù xǐhuān zhè yàng de jiàocái.	我不喜欢这样的教材。
A says...B says...	Jiǎ shuō...yǐ shuō...	甲说...乙说...
You're really a hypocrite.	Nǐ zhēn shi yíge wěijūnzǐ.	你真是一个伪君子。
Why can't these topics be taken and used as language teaching material?	Wèishénme zhè xiē tímù bùnéng nálái zuò yǔyán jiàocái ne?	为什么这些题目不能拿来做语言教材呢？
Some of his ideas are perhaps a little extreme.	Tā yǒu xiē yìjiàn yěxǔ shi tài jíduānle yìdiǎnr.	他有些意见也许太极端了一点儿。
If every story just teaches us to be good people, that's just boring.	Rúguǒ měige gùshi dōu zhǐ shi jiāo wǒmen zuò hǎo rén, nà cái wúliáo ne.	如果每个故事只是较我们做好人，那才无聊呢。
As for abortion being even easier than pulling a tooth...	Zhìyú duòtāi bǐ báyá hái róngyì... 	至于堕胎比拔牙还容易...
He just wants to explain that modern medicine is very advanced.	Tā zhǐ shi xiǎng shuōmíng xiàndài yīxué hěn jìnbù.	他只是想说明现代医学很进步。
It has nothing to do with discriminating against women.	Gēn qíshì nǚrén shi méiyǒu guānxi de.	跟歧视女人是没有关系的。
The author doesn't necessarily have this idea in mind.	Zuòzhě bújiàndé yǒu zhège yìsi.	作者不见得有这个意思。
My language ability is restricted.	Wǒde yǔyán nénglì hěn xiànzhì.	我的语言能力很限制。
It can't help having the defect of being superficial.	Miǎnbuliǎo yǒu fūqiǎn de máobìng.	免不了有肤浅的毛病。
It can't help having the defect of being childish.	Miǎnbuliǎo yǒu yòuzhì de máobìng.	免不了有幼稚的毛病。
I don't expect to find the solution to marriage problems.	Wǒ bù xiǎng zhǎodào duì hūnyīn wèntí de dá'àn.	我不想找到对婚姻问题的答案。
What are your thoughts? (e.g. about the movie)	Nǐ yǒu shénme gǎnxiǎng?	你有什么感想？
Blogs are for writing thoughts.	Bókè shi xiě sīxiǎngde.	博客是写思想的。
Flying in a plane is both safe and comfortable.	Zuò feījī jì ānquán yòu shūfu.	坐飞机既安全又舒服。
The movie is filled with violence.	Diànyǐnglǐ chōngmǎn le bàolì.	电影里充满了暴力。
Children cry to get adults' attention.	Xiǎoháir kū shi yīnwèi yǐnqǐ dàrén de zhùyì.	小孩儿哭是因为引起大人的注意。
That puppy got everyone's sympathy.	Nà zhī xiǎogǒu yǐnqǐ le dàjiā de tóngqíng.	那只小狗引起了大家的同情。
You don't have to be angry; he's already apologized to you.	Nǐ yòngbuzháo shēngqì, tā yǐjīng gēn nǐ dàoqiànle.	你用不着生气，他已经跟你道歉了。
My illness isn't serious; there's no need to see a doctor.	Wǒde bìng bù yánzhòng, yòngbuzháo kàn dàifu.	我的病不严重，用不着看大夫。
If it's useful, buy it.	Yàoshi yòngdezháo jiù mǎi ba.	要是用得着就买吧。
He's always lying, I'll never believe him again.	Tā zǒngshi piànrén, wǒ zàiyě búhuì xiāngxìn tā le.	他总是骗人，我再也不会相信他了。
I'll never come again.	Wǒ zàiyě bùlái le.	我再也不来了。
He never came back again.	Tā zàiyě méi huíláiguo.	他再也没回来过。
Don't buy this kind of candy again.	Zàiyě bié mǎi zhè zhǒng táng le.	再也别买这种糖了。
It integrates experience and knowledge.	Bǎ jīngyàn gēn zhīshì jiéhéqilái.	把经验跟知识结合起来。
A: You're really stupid; B: You're the stupid one.	Nǐ zhēn bèn.  Nǐ cái bèn ne.	你真笨。你才笨呢。
I don't like physics, it's history that I like.	Wùlǐ wǒ bù xǐhuān, lìshǐ cái shi wǒ xǐhuānde.	物理我不喜欢，历史才是我喜欢的。
That one's not good, it's this one that's good.	Nàge bu hǎo, zhège cái hǎo ne.	那个不好，这个才好呢。
As far as where I'm going to live next year, I still haven't decided.	Zhìyú míngnián zhù zài nǎr, wǒ hái méi juédìng.	至于明年住在哪儿，我还没决定。
They've been restricted by the government.	Tāmen shòudào zhèngfǔ de xiànzhì.	他们受到政府的限制。
This is a dialog between two passengers.	Zhè shi liǎngge chéngkè de duìhuà.	这是两个乘客的对话。
This is a no smoking seat.	Zhè shi bù zhǔn chōuyān de wèizi.	这是不准抽烟的位子。
How is my smoking your business?	Wǒ chōuyān guān nǐ shénme shì a?	我抽烟关你什么事啊？
I've been coughing for a few days, the smell of smoke bothers me.	Wǒ zhè jǐ tiān késòu, wénle yānwèr bù shūfu.	我这几天咳嗽，闻了烟味儿不舒服。
You're being very unreasonable.	Zhēn bù jiǎnglǐ.	真不讲理。
Attention all passengers: ...	Gèwèi lǚkè: ...	各位旅客：...
In 15 minutes the plane will be landing.	Zàiguò shíwǔfēnzhōng fēijī jiùyào jiàngluòle.	再过十五分钟飞机就要降落了。
Please quickly finish filling out the customs declaration form.	Qǐng gǎnkuài tiánhǎo hǎiguān shēnbàodān.	请赶快填好海关申报单。
Until the plane has come to a complete stop, please remain seated.	Zài fēijī méiyǒu tíngwěn yǐqián, qǐng dàjiā zuò zài zuòwèishang.	在飞机没有停稳以前，请大家坐在座位上。
Please don't stand up.	Qǐng búyào zhànqilai.	请不要站起来。
This is Beijing International Airport.	Zhè shi běijīng guójì jīchǎng.	这是北京国际机场。
Are you paying with RMB or foreign exchange certificates?	Nǐ fù rénmínbì háishi wàihuìquàn?	你付人民币还是外汇券？
If you want me to give a discount, that's okay, but then I wouldn't give you a receipt.	Yào dǎzhé shì kěyǐ, kěshì wǒ jiù bù gěi nǐ shōujùle.	要打折是可以，可是我就不给你收据了。
I'm confused too.	Wǒ yě hútu le.	我也糊涂了。
Don't pick it up.	Bú yào jiǎn.	不要捡。
You were picked out of a garbage can.	Nǐ shi cóng lājīxiāng jiǎnlaide.	你是从垃圾箱捡来的。
She picked up a wallet from the road.	Tā zài lùshang jiǎndào yíge qiánbāo.	她在路上捡到一个钱包。
She's a Christian.	Tā xìn jīdūjiào.	她信基督教。
Japan's a Buddhist nation. (obviously!)	Rìběn shi fójiào guójiā ma.	日本是佛教国家嘛。
I look at religion from a cultural perspective.	Wǒ cóng wénhuà de jiǎodù lái kàndài zōngjiào.	我从文化的角度来看待宗教。
You have to go to the synagogue to pray.	Yào qù yóutài huìtáng qídǎo.	要去犹太会堂祈祷。
You are God's gift to me.	Nǐ shi shàngdì sònggěi wǒ de lǐwù.	你是上帝送给我的礼物。
How much are you selling these god of wealth statues for?	Nǐ zhè cáishénxiàng zěnme mài?	你这财神像怎么卖？
I'm an atheist.	Wǒ shi wúshénlùnzhě.	我是无神论者。
Today we'll mainly talk a bit about the final.	Jīntiān wǒmen zhǔyào jiǎng yíxià qīmòkǎoshì.	今天我们主要讲一下期末考试。
They're not much different from Americans.	Gēn měiguórén méi shénme chābié.	跟美国人没什么差别。
Actually, it's very different.	Qíshí shi yǒu hěn dà chābié de.	其实是有很大差别的。
I can handle it.	Wǒ kěyǐ yìngfu.	我可以应付。
You didn't have any trouble dealing with him?	Yìngfu tā nǐ méiyǒu wèntí ba?	应付他你没有问题吧？
I've already done my best.	Wǒ yǐjīng jǐnlìle.	我已经尽力了。
If you have a suggestion/idea, feel free to bring it up, don't be polite.	Nǐ yǒu yìjiàn jǐnguǎn tí, búyào kèqi.	你有意见尽管提，不要客气。
I want to move (house) as soon as possible.	Wǒ xiǎng jǐnkuài bānjiā.	我想尽快搬家。
Feel free to eat whatever you want.	Xiǎng chī shénme jǐnguǎn chī.	想吃什么尽管吃。
I'll definitely do my best.	Wǒ yídìng huì jǐnlì de.	我一定会尽力的。
You're purposely taking the long route. (to taxi driver)	Nǐ shi gùyì zài ràolù ba.	你是故意在绕路吧。
I'm here on business.	Wǒ shi lái bànshì de.	我是来办事的。
When it gets to the rush hour there's always a traffic jam.	Dàole shàngxià bān shíjiān zǒngshi dǔchē.	到了上下班时间总是堵车。
There's always a traffic jam, you simply can't move at all.	Zǒng shi dǔchē, gēnběn zǒubudòng.	总是堵车，根本走不动。
I'm not in a rush.  (lit. no urgent business)	Wǒ méi shénme jíshì.	我没什么急事。
Three dollars counts as the tip.	Sān kuài qián suàn xiǎofèi le.	三块钱算小费了。
Isn't giving tips the rule in the US.  (i.e. proper etiquette)	Gěi xiǎofèi búshì měiguó guījǔ ma?	给小费不是美国规矩吗？
Before Chinese people talked revolution, now they talk earning money.	Yǐqián zhōngguórén jiǎng gémìng, xiànzài jiǎng zhuànqián le.	以前中国人讲革命，现在讲赚钱了。
The trunk is already open. (i.e. trunk of the car)	Xínglǐxiāng de gàizi yǐjīng kāi le.	行李箱的盖子已经开了。
I reserved a room.	Wǒ dìngle yíge fángjiān.	我订了一个房间。
In our records, we only have a Mr. Wang.	Wǒmen jìlùshang zhǐ yǒu Wáng xiānsheng.	我们记录上只有王先生。
Are you suggesting that I don't know my own name?	Wǒ zìjǐ de míngzi nándào hái bù zhīdào ma?	我自己的名字难道还不知道吗？
Here's the reservation.  (handing paper to hotel clerk)	Zhèshi dìngdān.	这是订单。
I just want to find a place to have a shower and get some sleep.	Wǒ zhǐ xiǎng zhǎo ge dìfang xǐgezaǒ, shuìgejiào.	我只想找个地方洗个澡，睡个觉。
People's Hotel says they have free rooms.	Rénmín lǚguǎn shuō tāmen yǒu kòngfáng.	人民旅馆说他们有空房。
Yes, we got a call from them.	Duì, duì, tāmen láiguo diànhuà.	对，对，他们来过电话。
Hello, is this the reception desk.	Wèi, shì fúwùtái ma?	喂，是服务台吗？
This room is no good, it's not only noisy, but dirty as well.	Zhège fángjiān tài chàle, búdàn chǎo, érqiě zāng.	这个房间太差了，不但吵，而且脏。
The sheets, bedspread and pillowcase have all been used.	Chuángdān, bèizi gēn zhěntóutào dōu shi yòngguode.	床单，被子跟枕头套都是用过的。
There are a lot of cockroaches in the bathroom.	Cèsuǒli yǒu hěn duō zhāngláng.	厕所里有很多蟑螂。
Please send an attendant up to have a look, okay?  (calling hotel reception)	Qǐng nǐ pàige fúwùyuán shànglái kànkan hǎo ma?	请你派个服务员上来看看好吗？
This is simply outrageous. (as a way of talking to me)	Jiǎnzhí tài búxiànghuà le.	简直太不象话了。
Don't be bringing your imperialist attitude around here. (lit. mouth/face)	Bié náchū nǐ dìguózhǔyì de zuǐliǎn lái.	别拿出你帝国主义嘴脸来。
I've laid out money.	Wǒ chūleqián.	我出了钱。
You've no call to lose your temper.	Nǐ búbì fāpíqì.	你不必发脾气。
Damn my luck.	Zhēn tāmāde dǎoméi.	真他妈的倒霉。
With a 20 percent discount, it's 18.	Dǎ bā zhé shi shíbā kuài qián.	打八折是十八块钱。
It's half off.  (i.e. 50% discount)	Dǎ bàn zhé.	打半折。
Are you familiar with the customs of daily life here?	Nǐ duì zhèr de shēnghuó xíguàn shúxī ma?	你对这儿的生活习惯熟悉吗？
He never eats out.	Tā cónglái bú zài wàitou chīfàn.	他从来不在外头吃饭。
He has never eaten out.	Tā cónglái méi zài wàitou chīguofàn.	他从来没在外头吃过饭。
This is the soda I most hate to drink, so I never drink it.	Wǒ zuì tǎoyàn hē zhè zhǒng qìshuǐ, suǒyǐ wǒ cónglái bù hē.	我最讨厌喝这种汽水，所以我从来不喝。
I've never had this kind of soda.	Wǒ cónglái méi hēguo zhè zhǒng qìshuǐ.	我从来没喝过这种汽水。
Do you mean to say that he would lie to you?	Nándào tā huì piàn nǐ ma?	难道他会骗你吗？
Could it be that you've forgotten this character you just learned?	Nándào zhège zì nǐ cái xuéguo jiù wàngle?	难道你这个字才学过就忘了？
If you want to eat, eat, if not, don't.	Nǐ yào chī jiù chī, bù chī jiù bù chī.	你要吃就吃，不吃就不吃。
I thoroughly enjoyed it.	Zhēn guòyǐn.	真过瘾。
If you don't pass, you've wasted all your time and energy, right?	Rúguǒ méi tōngguo de huà, shíjiān hé jīnglì bù dōu làngfèi le ma?	如果没通过的话，时间和精力不都浪费了吗？
Let's watch a video clip.	Wǒmen kàn yíduàn lùxiàng.	我们看一段录像。
On the website there's audio and also video.	Wǎngzhàn shàngmian yǒu yīnpín yě yǒu shìpín.	网站上面有音频也有视频。
Whose leg is hurt?	Shéi de tuǐ shòushāng le?	谁的腿受伤了？
My arm is sore.	Wǒde shǒubì hěn suān.	我的手臂很酸。
He just has four fingers.	Tā zhǐ yǒu sì ge shǒuzhǐ.	他只有四个手指。
She nodded her head.	Tā diǎnlediǎn tóu.	她点了点头。
Screwdriver? You want a Phillips-head or a flat-head?	Luósīdāo?  Yào shízìde háishi yīzìde?	螺丝刀？要十字的还是一字的？
The hotel charges 20 a day.	Fàndiàn měitiān shōufèi èrshíyuán.	饭店每天收费二十元。
They enjoy free medical care.	Tāmen xiǎngshòu miǎnfèi yīliáo.	他们享受免费医疗。
He explained the concerns of China's youth.	Tā jiǎngle zhōngguó qīngnián de fánnǎo.	他讲了中国青年的烦恼。
How can the price have gone up again!	Zěnme yòu zhǎngjià le?	怎么又涨价了？
In two weeks the price is up 50 cents, it's terrible.	Liǎngge xīngqi zhǎng wǔ máo, tài lìhai le ba.	两个星期涨五毛，太厉害了吧。
Everything has gone up (in price) except salaries.	Shénme dōu zhǎngjià jiùshi gōngzī bù zhǎng.	什么都涨价就是工资不涨。
Life is tough. (lit. these days are hard to pass)	Rìzi zhēn shi bù hǎoguò a.	日子真是不好过啊。
Ain't it the truth!	Kě bú shì ma?	可不是吗？
Fuel wood, rice, salt...what isn't going up?	Chái, mǐ, yán...nǎge bù zhǎng?	柴，米，盐，哪个不涨？
We who do a little small business still don't have it easy.	Wǒmen zuò diǎnr xiǎo shēngyì de yě shi bù róngyì a.	我们做点儿小生意的也是不容易啊。
How much does the chicken weigh?	Jī duō zhòng a?	鸡多重啊？
The two of them have been in love for many years.  (Use contraction for "the two of them")	Tāmen liǎ xiāng'ài hěn duō nián le.	他们俩相爱很多年了。
What's her work unit?	Tā zài nǎge dānwèi gōngzuò?	她在哪个单位工作？
They've been going out since the beginning of the first year of college.	Cóng dàxué yì niánjí kāishǐ jiù zuò péngyǒu le.	从大学一年级开始就做朋友了。
The two of them actually are very lucky.	Tā liǎ dào tǐng xìngyùn de.	他俩倒挺幸运的。
Many married couples are assigned to different places. (for work assignments)	Hěn duō fūfù fēnpèi zài bùtóng de dìfang.	很多夫妇分配在不同的地方。
In a year they see each other a rare few times.	Yìnián nándé jiàn jǐ cì miàn.	一年难得见几次面。
What?  Hasn't the work unit approved?	Zěnme?  Dānwèilǐ méi pīzhǔn a?	怎么？单位里没批准啊？
Actually it's not that, it's mainly that they have no place to live.	Dào yě búshì yīnwèi zhège, zhǔyào shi yīnwèi méi dìfang zhù.	倒也不是因为这个，主要是因为没地方住。
a broken bone, a worn out room, a broken car	yíge duàn gǔ, yì jiān pò wūzi, yí liàng huài chē	一个断骨，一间破屋子，一辆坏车
Two people dislike the crowding, don't even mention four. (living in a small room)	Liǎngge rén zhù dōu xián jǐ, gèngbié shuō zhù sìge rén le.	两个人住都嫌挤，更别说住四个人了。
The school says housing is in short supply.	Xuéxiào shuō fángzi hěn jǐnzhāng.	学校说房子很紧张。
He's still living in the singles dorm.	Tā hái zhù zài dānshēn sùshèli.	他还住在单身宿舍里。
They're young, how could it come around to their turn?	Tāmen niánjì xiǎo, nǎr lúndedào tāmen a?	他们年纪小，哪儿轮得到他们啊？
Old Liu's second kid still has to ask his roommate to yield.  (i.e. go out when his girlfriend comes over)	Lǎo Liú jiā de lǎoèr hái děi qǐng tóngwū ràngyiràng.	老刘家的老二还得请同屋让一让。
Every day on TV they're shouting about the four modernizations.	Diànshìshang tiāntiān rǎngzhe sìge xiàndàihuà.	电视上天天嚷着四个现代化。
They can't even resolve the most basic questions of housing.	Tāmen lián zuì jīběn de zhù de wèntí dōu jiějuébuliǎo.	他们连最基本的住的问题解决不了。
Not so loud, it's not good to let other people hear.	Bié nàme dàshēng, ràng biérén tīngjiànle bù hǎo.	别那么大声，让别人听见了不好。
A: Not so loud! B: I don't care.	Bié nàme dàshēng.  Wǒ cái bú pà ne.	A: 别那么大声。B: 我才不怕呢。
He's done a lifetime of work for the party.	Tā wèi dǎng zuòle yíbèizi shì.	他为党做了一辈子事。
He just about to retire.	Tā dōu kuài tuìxiū le.	他都快退休了。
Can the party face him?  (i.e. look him in the eye after mistreating him)	Dǎng duìdeqǐ tā ma?	党对得起他吗？
What's the point of saying this?	Zhè yǒu shénme hǎo shuōde ne?	这有什么好说的呢？
Don't let the neighborhood committee hear.	Bié ràng jiēdào wěiyuán tīngdàole.	别让街道委员听到了。
Thanks again.	Zài cì xièxie nǐ.	再次谢谢你。
This is Xiao Li, the one I've often mentioned to you.	Zhè shi xiǎolǐ, wǒ cháng gēn nǐ tíqǐ de.	这是小李，我常跟你提起的。
Why so polite?	Hébì nàme kèqi ne?	何必那么客气呢？
Keep it to use for yourself.	Nǐ zìjǐ liúzhe yòng ba.	你自己留着用吧。
It's just a token, take it.  (lit. accept it)	Zhè zhǐ shì yìdiǎnr xiǎoyìsi, nǐ shōuxia ba.	这只是一点儿小意思，你收下吧。
During the Cultural Revolution he committed suicide.	Tā zài wénhuà dàgémìng de shíhou zìshāle.	他在文化大革命的时候自杀了。
During the CultRev he was repeatedly the target of public criticism.	Tā wéngé de shíhou yízài shòudào pīdòu.	他文革的时候一再受到批斗。
He was beaten by the Red Guards to the point of severe injury.	Tā bèi hóngwèibīng dǎchéngle zhòngshāng.	他被红卫兵打成了重伤。
Not long after that he hung himself.	Méi duō jiǔ tā jiù shàngdiào zìshāle.	没多久他就上吊自杀了
Don't talk about those things anymore.	Bié tán zhè xiē shì le.	别谈这些事了。
Starting tomorrow, let's go jogging every day.	Wǒmen cóng míngtiān kāishǐ měitiān qù pǎobù ba.	我们从明天开始每天跑步吧。
From now on, no one's allowed to speak.	Cóng xiànzài kāishǐ, dàjiā dōu bù zhǔn shuōhuà.	从现在开始，大家都不准说话。
For this exam, we should prepare starting from page 3.	Zhècì de kǎoshì wǒmen yīnggāi cóng dì sān yè kāishǐ yùbèi.	这次的考试我们应该从第三页开始预备。
He can't even wash dishes well, let alone cook.	Lián wǎn dōu xǐbuhǎo, gèngbié shuō zuò fàn le.	连碗都洗不好，更别说做饭了。
In the US, even poor people have cars, not to mention the rich.	Zài měiguó lián qióngrén dōu yǒu qìchē, gèng bié shuō yǒuqiánrén le.	在美国连穷人都有汽车，更别说有钱人了。
He always thinks I'm driving too fast.	Tā zǒngshi xián wǒ kāichē kāide tài kuài.	他总是嫌我开车开得太快。
If you think it's uncomfortable here, go there.	Nǐ yàoshi xián zhèr bù shūfu, jiù shàng nàr qù ba.	你要是嫌这儿不舒服，就上那儿去吧。
To me, this thing is a bit too expensive.	Duìwǒláishuō, zhège dōngxi xián guìle yì diǎnr.	对我来说，这个东西嫌贵了一点儿。
What's the point of watching anything on TV?	Diànshì yǒu shénme hǎo kàn de ne?	电视有什么好看的呢？
What's the point of getting angry?	Yǒu shénme hǎo shēngqì de ne?	有什么好生气的呢？
What's the necessity of going to a restaurant?  (i.e. I'm fine to eat at home)	Hébì dào fànguǎn qù ne?	何必到饭馆去呢？
If he's not willing to go with you, why do have to make him?	Tā bú yuànyì gēn nǐ qù, hébì fēiyào tā qùbukě ne?	他不愿意跟你去，何必非要他去不可呢？
There's no room for discussion.	Méiyǒu shāngliang de yúdì.	没有商量的余地。
It adds emphasis.  (i.e to the tone of the sentence)	Shì jiāzhòng yǔqì de fāngfǎ.	是加重语气的方法。
The meaning of the second half of the sentence is...	Hòubàn jù de yìsi shi...	后半句的意思是...
He still has two years and then he retires.	Tā hái yǒu liǎng nián jiù tuìxiū le.	他还有两年就退休了。
You're a long way off from retirement!	Nǐ lí tuìxiū hái chàdeyuǎn ne!	你离退休还差得远呢！
Okay, it's settled like that then. (i.e. see you at 3 on Friday)	Nà jiù zhè yàng shuōdìngle.	那就这样说定了。
If you want..., then change it to the following:	Rúguǒ nǐ xiǎng...de huà, jiù gǎichéng yǐxià zhèyàng:	如果你想...的话，就变成以下这样：
I've got a cold...headache, runny nose.	Wǒ gǎnmàole, tóuténg, liú bítì.	我感冒了，头疼，流鼻涕。
His feet really stink.	Tā de jiǎo hěn chòu.	他的脚很臭。
There's no time to enjoy life.	Méiyǒu shíjiān xiǎngshòu shēnghuó.	没有时间享受生活。
Have a good time y'all.	Nǐmen wánde kāixīn diǎnr.	你们玩得开心点儿。
There's a crib inside.  I hear you can use it as a cradle.	Lǐmiàn dàiyǒu yīngérchuáng, tīngshuō kěyǐ dāng yáolán yòng.	里面带有婴儿床,听说可以当摇篮用。
Are there any big items like furniture or appliances?	Yǒu dàjiàn de jiājù hé diànqì ma?	有大件的家具和电器吗？
You should first wipe it with a cloth.	Yīnggāi xiān yòng mābù cā yíxià.	应该先用抹布擦一下。
Here's the master bedroom, here's the study.	Zhè shi zhǔwò, zhè shi shūfáng.	这是主卧，这是书房。
One bedroom would do.	Yì jiān wòshì jiù kěyǐ le.	一间卧室就可以了。
This is the living room, next to it is the toilet.	Zhè jiān shi kètīng, pángbian shi wèishēngjiān.	这间是客厅，旁边是卫生间。
Otherwise we won't make it to his violin lesson.	Fǒuzé xiǎotíqín kè jiù láibují le.	否则小提琴课就来不及了。
Can you play piano?	Nǐ huì tán gāngqín ma?	你会弹钢琴吗？
He threatened me, if I didn't do what he said he'd kill me.	Tā wēixié wǒ, rúguǒ wǒ bù tīng tāde, jiù shāle wǒ.	他威胁我，如果我不听他的，就杀了我。
We could then have class according to the usual schedule.	Wǒmen jiù kěyǐ ànzhào zhèngcháng shíjiān shàngkè.	我们就可以按照正常时间上课。
I'm just now applying for volunteer work.	Wǒ xiànzài zhèngzài shēnqǐng zuò yìgōng.	我现在正在申请做义工。
What sort of lessons are you hoping to have? (i.e. conducted how?)	Nǐ xīwàng shàngkè de xíngshì shi shénme?	你希望上课的形式是什么？
Do you have specific subject matter?  (i.e. to be covered in lessons)	Nǐ yǒuméiyǒu tèdìng de tícái?	你有没有特定的题材？
Pleased to meet you.  Likewise.	Rènshi nǐ hěn gāoxing. Bǐcǐ bǐcǐ.	认识你很高兴。彼此彼此。
*** 傅 ***	fù	傅
*** 坛 ***	tán	坛
*** 形 ***	xíng	形
*** 恐 ***	kǒng	恐
*** 饮 ***	yǐn	饮
*** 卷 ***	juǎn	卷
*** 桥 ***	qiáo	桥
*** 值 ***	zhí	值
*** 抓 ***	zhuā	抓
*** 烤 ***	kǎo	烤
*** 涮 ***	shuàn	涮
*** 顿 ***	dùn	顿
*** 联 ***	lián	联
*** 泄 ***	xiè	泄
*** 秘 ***	mì	秘
*** 密 ***	mì	密
*** 闭 ***	bì	闭
*** 嘴 ***	zǔi	嘴
*** 吓 ***	xià	吓
*** 择 ***	zé	择
*** 挣 ***	zhèng	挣
*** 唯 ***	wéi	唯
*** 汇 ***	huì	汇
*** 限 ***	xiàn	限
*** 存 ***	cún	存
*** 撤 ***	chè	撤
*** 销 ***	xiāo	销
*** 繁 ***	fán	繁
*** 富 ***	fù	富
*** 翁 ***	wēng	翁
*** 亏 ***	kuī	亏
*** 否 ***	fǒu	否
*** 则 ***	zé	则
*** 柴 ***	chái	柴
*** 粉 ***	fěn	粉
*** 占 ***	zhàn	占
*** 线 ***	xiàn	线
*** 梨 ***	lí	梨
*** 葡 ***	pú	葡
*** 萄 ***	táo	萄
*** 萝 ***	luō	萝
*** 激 ***	jī	激
*** 凌 ***	líng	凌
*** 棍 ***	gùn	棍
*** 魄 ***	pò	魄
*** 吵 ***	chǎo	吵
*** 绸 ***	chóu	绸
*** 棉 ***	mián	棉
*** 浴 ***	yù	浴
*** 煮 ***	zhǔ	煮
*** 勺 ***	sháo	勺
She's a sculptor, she makes sculpture.	Tā shi diāosùjiā, tā zuò diāosù zuòpǐn.	她是雕塑家，她做雕塑作品。
My wife is an artist.	Wǒ de aìrén shi yìshùjiā.	我的爱人是艺术家。
Quit kidding me.	Kuài bié dòule.	快别逗了。
At any rate, you *are* a manager.	Nǐ dàxiǎo yě shi ge lǎozǒng.	你大小也是个老总。
That goes without saying.	Nà méi shuō de.	那没说的。
Feel free to do as you like.	Nǐ zhǐguǎn zuò.	你只管做。
My treat.  (at a restaurant)	Wǒ qǐngkè.	我请客。
This clothing even exposes your belly button.	Zhè yīfu hái lùzhe dùqí.	这衣服还露着肚脐。
OK? (3 ways)	Hǎo bu hǎo?  Xíng bu xíng?  Chéng bu chéng?	好不好？行不行？成不成？
I wish my mom could be like that.	Wǒ mā yào yě néng zhèmezhe jiù hǎo le.	我妈要也能这么着就好了。
I wish you had vacation at the same time as me.	Nǐ yàoshi gēn wǒ tóngshí fàngjià jiù hǎo le.	你要是跟我同时放假就好了。
Let's do it like this: I'll go get him. (i.e. when he arrives at the station)	Zhèmezhe, wǒ qù jiē tā.	这么着，我去接他。
He's completely set in his opinions.	Tā kě sǐxīnyǎnr.	他可死心眼儿。
He's sharp.  (i.e. a quick thinker)	Tā nǎozi huó.	他脑子活。
Quit flattering me.  (i.e. C’mon, you're laying it on a little thick)	Kuài bié gěi wǒ dài gāo màor le.	快别给我戴高帽儿了。
Okay, so we're on for June 15.	Hǎo de.  Wǒmen jiù liù yuè shíwǔ hào hǎole.	好的。我们就6月15号好了。
Congratulations!  (e.g. your translation was great)	Zhùhè nǐ!	祝贺你！
In any case, when your composition is done, e-mail it to me.	Hǎodǎi nǐ de zuòwén xiěwán de shíhou jiù yòng yóujiàn fāgěi wǒ.	好歹你的作文写完的时候就用邮件发给我。
There's no chance my landlord will give me a receipt.	Fángdōng bù kěnéng gěi wǒ fāpiào.	房东不可能给我发票。
I'll rent it for a year then.	Nà wǒ zū yìnián.	那我租一年。
I want to rent an apartment.	Wǒ yào zū fángzi.	我要租房子。
I paid three months’ rent.	Wǒ fùle sān ge yuè de fángzū.	我付了三个月的房租。
You live in it yourself. You don't rent it out to other people.	Nǐ zìjǐ zhù, bù zūgěi bié rén.	你自己住，不租给别人。
The rent is 5,000 a month.	Zūjīn shi měi ge yuè wǔqiān.	租金是每个月五千。
Can we temporarily move it up a day? (i.e. one day earlier just this week)	Qǐngwèn kěyǐ zànshí tíqián yì tiān?	请问可以暂时提前一天？
This week I have a lot of time conflicts.	Zhège xīngqī yǒu hěn duō shíjiānshàng de chōngtū.	这个星期有很多时间上的冲突。
After this week or two, when everything is sorted out, there won't be any problems.	Guòle zhè yī, liǎng ge xīngqī zhīhòu, děng suǒyǒu de shìqing dōu ānpái hǎole, jiù búhuì yǒu wèntí le. 	过了这一，两个星期之后，等所有的事情都安排好了，就不会有问题了。
I'm a businessman.	Wǒ shì shāng​rén​.	我是商人。
I myself am running a small business.	Wǒ zìjǐ zài zuò yìdiǎnr xiǎo shēngyì.	我自己在做一点小生意。
You’re older than me.	Nín bǐ wǒ niánzhǎng.	您比我年长。
I haven't finished my assignment.  (i.e. homework)	Wǒ de zuòyè hái méi xiěwán ne.	我的作业还没写完呢。
I hope you'll understand.  (i.e. forgive my being late)	Qǐng nín liàngjiě.	请您谅解！
If we're going ahead with the original plan, what time is good for you?	Rúguǒ zhào yuán jìhuà jìnxíng, nà shénme shíjiān duì nín héshì?	如果照原计划进行，那什么时间对您合适？ 
This is a polite way of addressing someone older.	Zhè shi duì niánzhǎngzhě de zūnchēng.	这是对年长者的尊称。
At the same time, it's a matter of courtesy.	Tóngshí yě shi yì zhǒng lǐmào wèntí.	同时也是一种礼貌问题。
He met his friend in the gym.  (i.e. ran into him by accident)	Tā zài jiànshēnfángli yùjiàn le tāde péngyǒu.	他在健身房里遇见了他的朋友。
